"Name" "Nationality"
"Miguel Ángel Moyà" "ESP"
"Jan Oblak" "SVN"
"Santi Canedo" "ESP"
"David Gil" "ESP"
"Diego Godín" "URU"
"Guilherme Siqueira" "ITA"
"Cristian Ansaldi" "ARG"
"Jesús Gámez" "ESP"
"Juanfran" "ESP"
"Miranda" "BRA"
"José María Giménez" "URU"
"Lucas Hernández" "FRA"
"Cañete" "ESP"
"Sergi" "ESP"
"Alex" "ESP"
"Chipi" "ESP"
"Nacho Monsalve" "ESP"
"Alejandro Neila" "ESP"
"Borja París" "ESP"
"Aitor" "ESP"
"Alberto" "ESP"
"Mario Suárez" "ESP"
"Tiago" "POR"
"Koke" "ESP"
"Antoine Griezmann" "FRA"
"Raúl García" "ESP"
"Arda Turan" "TUR"
"Gabi" "ESP"
"Saúl Ñíguez" "ESP"
"Cani" "ESP"
"Benjamín" "GHA"
"Kevin" "COL"
"Borja Martínez" "ESP"
"Juan Moreno" "ESP"
"Fede Prieto" "ESP"
"Carlos Ramos" "ESP"
"Xu Xin" "CHN"
"Mario Mandžukic" "CRO"
"Raúl Jiménez" "MEX"
"Fernando Torres" "ESP"
"Cristian Rodríguez" "URU"
"Alessio Cerci" "ITA"
"Ivi" "ESP"
"Borja Galán" "ESP"
"Ian González" "ESP"
"Carlos Tirado" "ESP"
"Samuel Villa" "ESP"
"Diego Simeone" "ARG"
"Gianluigi Buffon" "ITA"
"Marco Storari" "ITA"
"Rubinho" "BRA"
"Emil Audero" "ITA"
"Giorgio Chiellini" "ITA"
"Martín Cáceres" "URU"
"Angelo Ogbonna" "ITA"
"Andrea Barzagli" "ITA"
"Paolo De Ceglie" "ITA"
"Leonardo Bonucci" "ITA"
"Stephan Lichtsteiner" "SUI"
"Patrice Evra" "FRA"
"Rômulo" "ITA"
"Paul Pogba" "FRA"
"Simone Pepe" "ITA"
"Claudio Marchisio" "ITA"
"Simone Padoin" "ITA"
"Andrea Pirlo" "ITA"
"Kwadwo Asamoah" "GHA"
"Arturo Vidal" "CHI"
"Mattia Vitale" "ITA"
"Stefano Sturaro" "ITA"
"Roberto Pereyra" "ARG"
